Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Chaat Masala (चाट मसाला),Spice Blends,350,10,60,8,"Sour, Salty, Pungent",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Sour (अम्ल),"Balances V, K. Increases P.",A tangy spice mix used for snacks and salads.
Sambar Powder (सांभर पाउडर),Spice Blends,420,14,55,18,"Pungent, Astringent (कटु, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances V, K. Increases P.",South Indian spice blend for making Sambar.
Rasam Powder (रसम पाउडर),Spice Blends,400,12,50,15,"Pungent, Sour (कटु, अम्ल)",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances V, K. Increases P.","Spice blend for making Rasam, a digestive soup."
Kombucha (कोम्बुचा),Fermented Drink,30,0.5,7,0.1,Sour (अम्ल),Heating (उष्ण),"Light, Liquid (लघु, द्रव)",Sour (अम्ल),"Balances V, K. Increases P.",Fermented tea. A modern probiotic drink.
Kefir (Milk) (दूध केफिर),Fermented Drink,60,3,5,3.5,Sour (अम्ल),Cooling (शीत),"Heavy, Liquid (गुरु, द्रव)",Sour (अम्ल),"Balances V, P. Can increase K.","Fermented milk drink, stronger probiotic than yogurt."
Lassi (Salted) (नमकीन लस्सी),Dairy Drink,50,3,5,2,"Sour, Salty (अम्ल, लवण)",Cooling (शीत),"Light, Liquid (लघु, द्रव)",Sour (अम्ल),"Balances V, P. Good for K in moderation.",Yogurt drink with salt and spices. Better for digestion than sweet lassi.
Shrikhand (श्रीखंड),Prepared Food,250,8,30,10,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),"Very Heavy, Unctuous (अति गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Strongly increases K.",Strained yogurt sweet dish. Very heavy.
Chhena Poda (छेना पोड़ा),Prepared Food,300,15,25,15,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Baked cheese dessert from Odisha.
Uttapam (उत्तपम),Prepared Food,180,5,32,3,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Thick fermented pancake with vegetable toppings.
Rava Dosa (रवा डोसा),Prepared Food,150,3,25,4,Sweet (मधुर),Cooling (शीत),"Very Light, Dry, Crisp (अति लघु, रूक्ष, खरा)",Sweet (मधुर),"Strongly increases V. Balances P, K.",Instant dosa from semolina. Very drying.
Paniyaram / Appe (पनियारम),Prepared Food,180,4,30,5,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Steamed dumplings from dosa batter.
Khaman (खमन),Prepared Food,160,8,20,5,"Sweet, Sour (मधुर, अम्ल)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),"Can increase V, P. Balances K.","Steamed, spongy gram flour cake."
Handvo (हांडवो),Prepared Food,250,10,30,10,"Sweet, Sour, Pungent",Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Can increase V, P. Balances K.",Savory baked lentil and rice cake.
Amla Murabba (आंवला मुरब्बा),Prepared Food,250,1,65,0.5,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances all doshas, especially Pitta.",Sweet preserve of Indian gooseberry. A rejuvenator.
Gulkand (गुलकंद),Prepared Food,300,0.5,75,0.2,Sweet (मधुर),Very Cooling (अति शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),Excellent for Pitta. Balances V. Increases K.,Rose petal preserve. Excellent for acidity and heat.
Chyawanprash (च्यवनप्राश),Prepared Food,320,2,75,2,Mixed,Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances all doshas, especially Vata & Kapha.",Ayurvedic jam for immunity (Rasayana).
Tamarind Candy (इमली कैंडी),Prepared Food,350,1,85,1,"Sour, Sweet (अम्ल, मधुर)",Heating (उष्ण),Light (लघु),Sour (अम्ल),"Balances V, K. Increases P.",Digestive candy.
Sesame Chikki (तिल चिक्की),Prepared Food,500,12,45,30,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V. Can increase P, K.",Brittle made from sesame seeds and jaggery. A winter sweet.
Peanut Chikki (मूंगफली चिक्की),Prepared Food,520,15,40,35,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V. Can increase P, K.",Brittle made from peanuts and jaggery.
Murabba (Apple) (सेब का मुरब्बा),Prepared Food,260,0.5,68,0.2,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Sweet apple preserve. Good for strength.
Murabba (Bael) (बेल का मुरब्बा),Prepared Food,270,1,70,0.3,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Sweet Bael fruit preserve, excellent for digestion."
Pickle (Lemon - Sweet) (नींबू का मीठा अचार),Prepared Food,220,1,55,1,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Less Pitta-aggravating than spicy pickles.
Pickle (Chili) (मिर्च का अचार),Prepared Food,180,3,8,15,"Pungent, Sour, Salty",Very Heating (अति उष्ण),"Sharp, Dry, Heavy (तीक्ष्ण, रूक्ष, गुरु)",Pungent (कटु),Strongly increases Pitta.,Use with extreme caution. A fiery condiment.
Ghee ( clarified butter),Fats & Oils,897,0,0,99.5,Sweet (मधुर),Cooling (शीत),"Unctuous, Light (स्निग्ध, लघु)",Sweet (मधुर),"Tridoshic, balances all doshas.","Considered the best fat. Improves digestion, memory, and Ojas."
Butter (unsalted,white),Fats & Oils,717,0.9,0.1,81,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V, P. Increases K."
Sunflower Oil,Fats & Oils,884,0,0,100,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Excellent for P. Neutral for V, K.","A light, cooling oil suitable for most cooking."
Safflower Oil,Fats & Oils,884,0,0,100,"Pungent, Sweet (कटु, मधुर)",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances K, V. Increases P.","Heating oil, good for heart health in moderation."
Groundnut Oil (peanut oil),Fats & Oils,884,0,0,100,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.",A common cooking oil that can be heavy for some.
Castor Oil,Fats & Oils,884,0,0,100,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),"Heavy, Sharp, Oily (गुरु, तीक्ष्ण, स्निग्ध)",Sweet (मधुर),"Excellent for V. Can increase P, K.",Primarily used medicinally as a strong purgative (laxative).
Flaxseed Oil,Fats & Oils,884,0,0,100,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V. Increases P, K.",Rich in Omega-3. Not suitable for high-heat cooking.
Avocado Oil,Fats & Oils,884,0,0,100,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V, P. Increases K.",Good for high-heat cooking. Very nourishing.
Olive Oil (Extra Virgin),Fats & Oils,884,0,0,100,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for P. Can increase V, K.",Best used unheated in dressings.
Buffalo Milk,Dairy,97,3.8,5.2,6.9,Sweet (मधुर),Cooling (शीत),"Very Heavy, Unctuous (अति गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V. Increases K, P.",Heavier and more fat-rich than cow's milk. Induces sleep.
Goat Milk,Dairy,69,3.6,4.5,4.1,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),Balances all doshas (Tridoshic).,Lighter and easier to digest than cow's milk. Good for respiratory issues.
Camel Milk,Dairy,50,3,5,3,"Salty, Sweet (लवण, मधुर)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V, K. Good for P.",Slightly salty. Considered very therapeutic in Ayurveda.
Condensed Milk,Dairy,321,8,55,8,Sweet (मधुर),Cooling (शीत),Very Heavy (अति गुरु),Sweet (मधुर),"Balances V, P. Heavily increases K.",Very sweet and heavy. Used for desserts.
Evaporated Milk,Dairy,134,6.8,10,7.6,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Unsweetened condensed milk. Still heavy.
Sour Cream,Dairy,198,2.1,4.6,19.4,Sour (अम्ल),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sour (अम्ल),"Balances V. Increases P, K.",Fermented cream. Very heavy and Pitta-aggravating.
Cream Cheese,Dairy,342,6,6,34,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Heavy and Kapha-forming.
Ricotta Cheese,Dairy,174,11,3,13,Sweet (मधुर),Cooling (शीत),"Light, Moist (लघु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Lighter than most cheeses.
Feta Cheese,Dairy,264,14,4,21,"Salty, Sour (लवण, अम्ल)",Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Sour (अम्ल),"Increases all doshas, especially Pitta.",Very salty and heating.
Parmesan Cheese,Dairy,431,38,4,29,Salty (लवण),Heating (उष्ण),"Heavy, Dry, Hard (गुरु, रूक्ष, खर)",Sweet (मधुर),Increases all doshas.,"Very dry, hard, and salty."
Mozzarella Cheese (Fresh),Dairy,280,28,3.1,17,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Softer and moister than aged cheeses.
Khandvi,Prepared Food,152,5,15,8,"Sweet, Salty (मधुर, लवण)",Cooling (शीत),"Light, Unctuous (लघु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Can increase K.",Gram flour and yogurt roll. Light and savory snack.
Upma,Prepared Food,200,5,30,7,"Sweet, Salty (मधुर, लवण)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances K, P. Can increase V.",Savory semolina porridge. Easy to digest when moist.
Idiyappam (String Hoppers),Prepared Food,130,2,29,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.",Steamed rice flour noodles. Very light and digestible.
Appam,Prepared Food,120,3,25,1,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.",Fermented rice pancake. Light and soft.
Puttu,Prepared Food,150,3,32,1,Sweet (मधुर),Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Can increase V, K.",Steamed cylinders of ground rice and coconut.
Thepla,Prepared Food,250,8,35,9,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),"Light, Oily (लघु, स्निग्ध)",Sweet (मधुर),"Balances V. Can increase P, K.",Gujarati flatbread with fenugreek. Good for travel.
Puran Poli,Prepared Food,350,10,50,12,Sweet (मधुर),Cooling (शीत),"Very Heavy, Unctuous (अति गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Strongly increases K.",Sweet flatbread with lentil stuffing. Very heavy.
Mishti Doi,Prepared Food,180,5,25,7,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Strongly increases K.","Sweet, caramelized yogurt from Bengal. Very heavy."
Bisi Bele Bath,Prepared Food,210,8,35,5,Mixed,Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, K. Can increase P.",Spicy rice and lentil dish from Karnataka.
Pongal (Sweet),Prepared Food,380,10,70,8,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Rice and lentil pudding with jaggery.
Pongal (Savory),Prepared Food,250,8,40,6,"Pungent, Salty (कटु, लवण)",Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Can increase K, P.",Rice and lentil porridge with black pepper and ghee.
Sabudana Khichdi,Prepared Food,485,1.5,70,23,"Sweet, Salty (मधुर, लवण)",Cooling (शीत),"Heavy, Unctuous, Sticky (गुरु, स्निग्ध, पिच्छिल)",Sweet (मधुर),"Balances V, P. Increases K.","Tapioca pearl dish, often for fasting. Can be heavy."
Sabudana Vada,Prepared Food,320,2,40,17,"Sweet, Salty (मधुर, लवण)",Cooling (शीत),"Very Heavy, Oily (अति गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Strongly increases K, P.",Deep-fried tapioca fritter. Very heavy.
Vegetable Pulao,Prepared Food,180,4,30,5,"Sweet, Salty (मधुर, लवण)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas.,Lightly spiced rice and vegetable dish.
Vegetable Biryani,Prepared Food,250,6,40,8,"Pungent, Salty (कटु, लवण)",Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, K. Increases P.",Heavier and more spiced than Pulao.
Tamarind Rice,Prepared Food,220,4,35,7,"Sour, Pungent (अम्ल, कटु)",Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Sour (अम्ल),"Balances V, K. Increases P.",South Indian rice dish. Very Pitta-aggravating.
Lemon Rice,Prepared Food,200,3,30,6,Sour (अम्ल),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),"Increases V, P. Balances K.",Light but sour and drying rice dish.
Coconut Rice,Prepared Food,240,4,30,12,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Nourishing and cooling rice dish.
Tomato Soup,Prepared Food,74,1.5,16,0.5,"Sour, Sweet (अम्ल, मधुर)",Heating (उष्ण),"Light, Liquid (लघु, द्रव)",Sour (अम्ल),"Balances V, K. Increases P.",Appetizer soup. Sourness can aggravate Pitta.
Lentil Soup (Dal Shorba),Prepared Food,100,6,15,2,"Sweet, Salty (मधुर, लवण)",Cooling (शीत),"Light, Liquid (लघु, द्रव)",Sweet (मधुर),Balances all doshas.,Light and nourishing soup.
Mixed Vegetable Soup,Prepared Food,60,2,12,1,"Sweet, Salty (मधुर, लवण)",Cooling (शीत),"Light, Liquid (लघु, द्रव)",Sweet (मधुर),Balances all doshas.,Easy to digest and nutritious.
